City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
lumberton,1,US,1527201300,74,30.27,-94.2,82.4,3.36
lagoa,20,PT,1527202800,87,37.14,-8.45,60.8,2.93
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
tenenkou,12,ML,1527204157,39,14.46,-4.91,92.67,7.4
nalut,20,LY,1527204157,61,31.86,10.98,67.02,6.17
hilo,75,US,1527203160,69,19.71,-155.08,80.6,11.41
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
torbay,75,CA,1527201360,100,47.66,-52.73,35.6,19.46
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
cheney,20,US,1527202560,41,47.49,-117.58,78.8,12.75
georgetown,68,SH,1527204158,100,-7.93,-14.42,79.8,13.22
carnarvon,24,AU,1527204090,92,-24.87,113.63,70.26,17.25
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
koutiala,44,ML,1527204159,62,12.39,-5.46,83.13,9.98
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
rossosh,80,RU,1527204159,65,50.2,39.58,65.4,10.2
chokurdakh,20,RU,1527204160,100,70.62,147.9,27.15,10.2
khatanga,88,RU,1527204156,100,71.98,102.47,33.0,8.97
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
isangel,76,VU,1527204160,100,-19.55,169.27,75.93,10.65
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
sibolga,24,ID,1527204160,100,1.74,98.78,69.27,2.59
longyearbyen,75,SJ,1527202200,80,78.22,15.64,35.6,19.46
tsumeb,12,NA,1527204161,63,-19.25,17.72,50.55,4.38
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
umea,0,SE,1527202200,81,63.83,20.26,46.4,3.36
carballo,0,ES,1527202800,82,43.21,-8.69,60.8,8.05
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
longyearbyen,75,SJ,1527202200,80,78.22,15.64,35.6,19.46
cacu,0,BR,1527203949,71,-18.56,-51.13,62.43,6.96
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
vila franca do campo,75,PT,1527202800,88,37.72,-25.43,62.6,6.93
iringa,20,TZ,1527204163,86,-7.77,35.7,49.65,3.49
pevek,56,RU,1527204163,100,69.7,170.27,28.41,6.4
luis correia,75,BR,1527198300,94,-2.88,-41.67,77.0,2.24
bambanglipuro,56,ID,1527204163,95,-7.95,110.28,72.69,2.59
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
esperance,88,AU,1527204089,27,-33.86,121.89,72.6,30.78
mugur-aksy,8,RU,1527204164,69,50.38,90.44,19.23,3.27
alekseyevsk,100,RU,1527204164,97,57.84,108.35,44.25,7.18
broome,0,AU,1527199200,82,-17.97,122.23,59.0,3.15
superior,75,US,1527202380,62,47.19,-114.89,78.8,3.36
egvekinot,56,RU,1527204226,93,66.32,-179.17,37.32,3.04
butaritari,92,KI,1527204226,100,3.07,172.79,83.85,13.44
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
troitskoye,92,RU,1527204226,76,52.98,84.68,44.7,9.19
teya,32,RU,1527204227,66,60.37,92.63,37.5,6.17
comodoro rivadavia,0,AR,1527202800,59,-45.87,-67.48,62.6,16.11
georgetown,68,SH,1527204158,100,-7.93,-14.42,79.8,13.22
nokaneng,0,BW,1527204227,69,-19.66,22.19,57.3,3.04
luderitz,0,NA,1527204083,89,-26.65,15.16,56.4,13.67
riyadh,0,SA,1527199200,15,24.63,46.72,82.4,2.24
pevek,56,RU,1527204163,100,69.7,170.27,28.41,6.4
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
tiksi,48,RU,1527204228,100,71.64,128.87,33.63,3.71
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
pamekasan,24,ID,1527204228,94,-7.16,113.47,82.32,5.17
esperance,88,AU,1527204089,27,-33.86,121.89,72.6,30.78
pokaran,0,IN,1527204229,27,26.93,71.92,75.39,10.98
elizabeth city,1,US,1527203700,50,36.3,-76.22,84.2,5.82
kalemie,0,CD,1527204229,100,-5.95,29.2,76.02,0.36
beidao,12,CN,1527204229,82,34.57,105.89,60.18,3.6
rapid city,1,US,1527202500,44,44.08,-103.23,78.8,5.82
barrow,1,US,1527202500,40,39.51,-90.4,87.8,4.7
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
dvinskoy,0,RU,1527204230,50,62.16,45.12,39.48,7.18
kashan,12,IR,1527204230,47,33.99,51.44,62.61,5.17
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
kapaa,40,US,1527202560,69,22.08,-159.32,80.6,19.46
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
avarua,75,CK,1527202800,74,-21.21,-159.78,82.4,8.05
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
almunecar,75,ES,1527202800,72,36.73,-3.69,60.8,9.17
kapaa,40,US,1527202560,69,22.08,-159.32,80.6,19.46
kaitangata,92,NZ,1527204231,97,-46.28,169.85,44.52,10.09
borogontsy,0,RU,1527204232,28,62.67,131.17,69.45,7.4
hellin,0,ES,1527202800,72,38.51,-1.7,59.0,11.41
sitka,88,US,1527204232,63,37.17,-99.65,80.43,13.33
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
acari,0,PE,1527204232,82,-15.44,-74.62,56.4,2.04
castro,88,CL,1527204233,98,-42.48,-73.76,53.79,7.18
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
maceio,75,BR,1527202800,88,-9.67,-35.74,75.2,3.36
qaanaaq,92,GL,1527204233,100,77.48,-69.36,26.16,3.04
saldanha,20,ZA,1527204234,97,-33.01,17.94,57.39,10.76
new norfolk,40,AU,1527202800,80,-42.78,147.06,41.0,8.05
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
kokopo,56,PG,1527204234,100,-4.34,152.27,83.13,3.71
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
batagay,0,RU,1527204235,69,67.65,134.64,58.56,4.38
hamilton,75,BM,1527202500,83,32.3,-64.78,73.4,9.17
port alfred,92,ZA,1527204084,100,-33.59,26.89,62.52,11.1
severo-kurilsk,92,RU,1527204108,98,50.68,156.12,37.5,6.51
barrow,1,US,1527202500,40,39.51,-90.4,87.8,4.7
weatherford,1,US,1527202380,43,32.76,-97.8,89.6,11.41
atuona,12,PF,1527204297,100,-9.8,-139.03,81.15,16.69
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
ostrovnoy,64,RU,1527204297,79,68.05,39.51,35.34,9.86
cape town,75,ZA,1527199200,82,-33.93,18.42,57.2,10.29
trenggalek,32,ID,1527204297,96,-8.05,111.71,71.88,3.38
dafeng,100,CN,1527204131,100,33.2,120.46,64.23,11.65
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
pevek,56,RU,1527204163,100,69.7,170.27,28.41,6.4
torbay,75,CA,1527201360,100,47.66,-52.73,35.6,19.46
bonavista,76,CA,1527204299,100,48.65,-53.11,33.54,22.39
port blair,20,IN,1527204125,100,11.67,92.75,85.38,10.98
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
atuona,12,PF,1527204297,100,-9.8,-139.03,81.15,16.69
thompson,40,CA,1527199200,17,55.74,-97.86,91.4,4.7
barrow,1,US,1527202500,40,39.51,-90.4,87.8,4.7
dikson,80,RU,1527204300,100,73.51,80.55,27.87,10.76
provideniya,75,RU,1527201000,65,64.42,-173.23,41.0,4.47
cape town,75,ZA,1527199200,82,-33.93,18.42,57.2,10.29
hobart,40,AU,1527202800,80,-42.88,147.33,41.0,8.05
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
ishigaki,20,JP,1527199200,94,24.34,124.16,77.0,4.7
tuktoyaktuk,90,CA,1527199200,86,69.44,-133.03,30.2,23.04
lagoa,20,PT,1527202800,87,37.14,-8.45,60.8,2.93
beringovskiy,24,RU,1527204302,98,63.05,179.32,33.45,3.15
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
victoria,88,SC,1527199200,88,-4.62,55.45,80.6,8.05
new norfolk,40,AU,1527202800,80,-42.78,147.06,41.0,8.05
geraldton,75,CA,1527199200,28,49.72,-86.95,84.2,11.41
evreux,0,FR,1527202800,93,49.02,1.15,55.4,3.36
new norfolk,40,AU,1527202800,80,-42.78,147.06,41.0,8.05
westerland,0,DE,1527202200,76,54.91,8.3,55.4,10.29
lorengau,20,PG,1527204303,97,-2.02,147.27,85.29,4.72
kangaatsiaq,0,GL,1527204304,100,68.31,-53.46,26.43,3.6
puerto leguizamo,88,CO,1527204304,98,-0.19,-74.78,72.6,2.71
padang,12,ID,1527204304,100,-0.92,100.36,81.96,3.94
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
cherskiy,0,RU,1527204305,79,68.75,161.3,37.41,5.06
qaanaaq,92,GL,1527204233,100,77.48,-69.36,26.16,3.04
butaritari,92,KI,1527204226,100,3.07,172.79,83.85,13.44
kenai,90,US,1527202560,30,60.55,-151.26,57.2,14.99
banat,0,IN,1527204305,36,29.47,77.35,72.15,6.62
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
port elizabeth,75,ZA,1527199200,93,-33.92,25.57,60.8,12.75
isangel,76,VU,1527204160,100,-19.55,169.27,75.93,10.65
atuona,12,PF,1527204297,100,-9.8,-139.03,81.15,16.69
east london,92,ZA,1527204131,100,-33.02,27.91,66.12,12.66
escarcega,92,MX,1527204367,71,18.61,-90.75,83.4,5.28
castro,88,CL,1527204233,98,-42.48,-73.76,53.79,7.18
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
campbellsville,1,US,1527203700,39,37.34,-85.34,84.2,6.93
ponta delgada,75,PT,1527202800,88,37.73,-25.67,62.6,6.93
tadine,20,NC,1527204368,97,-21.55,167.88,75.75,7.18
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
arraial do cabo,20,BR,1527199200,82,-22.97,-42.02,68.0,2.24
constitucion,20,MX,1527202020,7,23.99,-104.67,89.6,4.7
takoradi,88,GH,1527204369,100,4.89,-1.75,79.44,7.18
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
kavaratti,48,IN,1527204369,95,10.57,72.64,87.81,22.5
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
nikolskoye,0,RU,1527201000,57,59.7,30.79,48.2,2.24
scituate,90,US,1527203820,100,41.79,-71.61,64.4,9.17
port hedland,32,AU,1527202800,72,-20.31,118.58,62.6,5.82
vestmannaeyjar,92,IS,1527204093,90,63.44,-20.27,43.53,15.23
saint-philippe,40,RE,1527201000,60,-21.36,55.77,73.4,11.41
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
atuona,12,PF,1527204297,100,-9.8,-139.03,81.15,16.69
fortuna,90,US,1527202500,82,40.6,-124.16,59.0,6.93
hamilton,75,BM,1527202500,83,32.3,-64.78,73.4,9.17
port alfred,92,ZA,1527204084,100,-33.59,26.89,62.52,11.1
georgetown,68,SH,1527204158,100,-7.93,-14.42,79.8,13.22
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
pacific grove,90,US,1527202500,71,36.62,-121.92,60.8,8.05
hobart,40,AU,1527202800,80,-42.88,147.33,41.0,8.05
arraial do cabo,20,BR,1527199200,82,-22.97,-42.02,68.0,2.24
domoni,0,KM,1527204372,100,-12.26,44.53,80.88,7.07
korla,0,CN,1527204373,86,41.76,86.15,33.9,4.27
umarkot,36,IN,1527204373,73,19.67,82.22,77.64,9.08
sorland,0,NO,1527198600,70,67.67,12.69,44.6,2.24
yulara,0,AU,1527199200,70,-25.24,130.99,42.8,5.82
torbay,75,CA,1527201360,100,47.66,-52.73,35.6,19.46
svetlogorsk,40,RU,1527199200,55,53.14,59.15,62.6,6.71
yegorlykskaya,48,RU,1527204374,60,46.56,40.65,69.18,6.17
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
port hardy,75,CA,1527199200,67,50.7,-127.42,57.2,13.87
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
zastavna,68,UA,1527204375,74,48.52,25.85,63.15,6.73
vestmannaeyjar,92,IS,1527204093,90,63.44,-20.27,43.53,15.23
jiaonan,80,CN,1527199200,72,35.88,119.98,66.2,8.95
norman wells,75,CA,1527199200,51,65.28,-126.83,62.6,19.46
weligama,92,LK,1527204376,100,5.97,80.42,74.76,19.82
sitka,88,US,1527204232,63,37.17,-99.65,80.43,13.33
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
suhbaatar,36,MN,1527204437,75,50.23,106.21,53.61,14.79
lebu,0,CL,1527204085,100,-37.62,-73.65,54.6,4.16
avarua,75,CK,1527202800,74,-21.21,-159.78,82.4,8.05
gaoua,48,BF,1527204438,72,10.33,-3.18,81.51,7.07
kodiak,1,US,1527202380,57,39.95,-94.76,80.6,11.41
hermanus,76,ZA,1527204083,100,-34.42,19.24,52.17,3.71
nivala,24,FI,1527204439,45,63.93,24.96,47.04,4.5
lebu,0,CL,1527204085,100,-37.62,-73.65,54.6,4.16
tasiilaq,40,GL,1527202200,86,65.61,-37.64,33.8,5.82
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
lagoa,20,PT,1527202800,87,37.14,-8.45,60.8,2.93
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
kalmunai,64,LK,1527204440,100,7.42,81.82,71.88,3.94
alice springs,0,AU,1527202800,61,-23.7,133.88,50.0,5.5
bredasdorp,76,ZA,1527199200,87,-34.53,20.04,55.4,2.24
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
muzhi,8,RU,1527204440,69,65.4,64.7,29.13,18.03
librazhd,0,AL,1527202200,93,41.18,20.32,62.6,3.36
latung,76,PH,1527204441,100,5.5,120.88,86.19,7.4
ribnica,20,SI,1527202800,100,45.74,14.73,71.6,1.12
olinda,75,BR,1527202800,69,-22.82,-43.41,73.4,4.7
nemuro,92,JP,1527204441,95,43.32,145.57,47.13,4.16
wajir,0,KE,1527204442,69,1.75,40.07,76.65,10.65
husavik,90,IS,1527202800,87,66.04,-17.34,42.8,1.12
kapaa,40,US,1527202560,69,22.08,-159.32,80.6,19.46
green valley,1,US,1527202560,40,40.41,-89.64,89.6,6.93
nikolskoye,0,RU,1527201000,57,59.7,30.79,48.2,2.24
atuona,12,PF,1527204297,100,-9.8,-139.03,81.15,16.69
gemena,76,CD,1527204443,98,3.25,19.78,69.9,2.15
hilo,75,US,1527203160,69,19.71,-155.08,80.6,11.41
tiksi,48,RU,1527204228,100,71.64,128.87,33.63,3.71
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
pevek,56,RU,1527204163,100,69.7,170.27,28.41,6.4
vanimo,48,PG,1527204444,100,-2.67,141.3,83.85,7.96
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
port macquarie,90,AU,1527202800,93,-31.43,152.91,59.0,6.93
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
lompoc,90,US,1527202560,72,34.64,-120.46,64.4,10.29
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
bilibino,88,RU,1527204445,75,68.06,166.44,39.75,3.04
yugorsk,0,RU,1527204445,46,61.32,63.33,40.02,8.52
edson,90,CA,1527201000,77,53.59,-116.44,59.0,11.41
hermanus,76,ZA,1527204083,100,-34.42,19.24,52.17,3.71
cacequi,0,BR,1527204445,84,-29.88,-54.83,45.78,7.74
aykhal,0,RU,1527204446,82,65.95,111.51,41.55,8.75
esperance,88,AU,1527204089,27,-33.86,121.89,72.6,30.78
chokurdakh,20,RU,1527204160,100,70.62,147.9,27.15,10.2
papillion,1,US,1527203700,46,41.15,-96.04,89.6,11.41
dikson,80,RU,1527204300,100,73.51,80.55,27.87,10.76
kapaa,40,US,1527202560,69,22.08,-159.32,80.6,19.46
socastee,75,US,1527203700,94,33.68,-79.0,77.0,3.36
norfolk,1,US,1527203700,60,36.85,-76.29,82.4,3.36
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
mar del plata,0,AR,1527204084,60,-46.43,-67.52,59.91,16.02
narsaq,48,GL,1527202200,64,60.91,-46.05,35.6,8.05
port elizabeth,75,ZA,1527199200,93,-33.92,25.57,60.8,12.75
dikson,80,RU,1527204300,100,73.51,80.55,27.87,10.76
tarakan,36,ID,1527204509,100,3.3,117.63,80.43,3.04
siwana,0,IN,1527204509,36,25.65,72.42,75.75,6.29
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
saskylakh,12,RU,1527204509,93,71.97,114.09,37.77,4.16
saint george,75,BM,1527202500,83,32.38,-64.68,73.4,9.17
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
barrow,1,US,1527202500,40,39.51,-90.4,87.8,4.7
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
arraial do cabo,20,BR,1527199200,82,-22.97,-42.02,68.0,2.24
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
khatanga,88,RU,1527204156,100,71.98,102.47,33.0,8.97
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
baykit,56,RU,1527204511,68,61.68,96.39,35.7,5.28
guerrero negro,0,MX,1527204511,65,27.97,-114.04,67.83,14.9
mar del plata,0,AR,1527204084,60,-46.43,-67.52,59.91,16.02
kenitra,40,MA,1527202800,82,34.26,-6.57,59.0,2.24
ancud,92,CL,1527204512,97,-41.87,-73.83,54.15,5.73
ahar,24,IR,1527204512,94,38.48,47.07,42.72,1.48
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
cidreira,0,BR,1527204512,92,-30.17,-50.22,45.78,1.92
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
northam,75,AU,1527202800,82,-31.65,116.67,59.0,23.04
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
qaanaaq,92,GL,1527204233,100,77.48,-69.36,26.16,3.04
port alfred,92,ZA,1527204084,100,-33.59,26.89,62.52,11.1
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
portland,24,AU,1527204513,93,-33.35,149.98,47.76,2.71
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
arraial do cabo,20,BR,1527199200,82,-22.97,-42.02,68.0,2.24
lavrentiya,48,RU,1527204305,100,65.58,-170.99,31.47,0.81
solnechnyy,92,RU,1527204514,79,50.72,136.64,47.13,7.96
fallon,40,US,1527202560,50,46.84,-105.12,77.0,12.75
grindavik,75,IS,1527202800,80,63.84,-22.43,41.0,6.93
bethel,90,US,1527198780,87,60.79,-161.76,46.4,9.17
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
lima,0,PE,1527204515,75,-12.06,-77.04,60.0,2.04
arraial do cabo,20,BR,1527199200,82,-22.97,-42.02,68.0,2.24
hermanus,76,ZA,1527204083,100,-34.42,19.24,52.17,3.71
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
ambanja,0,MG,1527204515,94,-13.68,48.45,63.51,3.15
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
tasiilaq,40,GL,1527202200,86,65.61,-37.64,33.8,5.82
nanortalik,24,GL,1527204577,96,60.14,-45.24,29.67,3.04
kaitangata,92,NZ,1527204231,97,-46.28,169.85,44.52,10.09
mashivka,0,UA,1527204577,78,49.44,34.87,63.96,9.64
aklavik,90,CA,1527199200,74,68.22,-135.01,44.6,10.29
evensk,76,RU,1527204578,97,61.92,159.24,37.86,3.83
new norfolk,40,AU,1527202800,80,-42.78,147.06,41.0,8.05
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
provideniya,75,RU,1527201000,65,64.42,-173.23,41.0,4.47
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
hilo,75,US,1527203160,69,19.71,-155.08,80.6,11.41
kodiak,1,US,1527202380,57,39.95,-94.76,80.6,11.41
vaini,40,TO,1527202800,74,-21.2,-175.2,82.4,9.17
new norfolk,40,AU,1527202800,80,-42.78,147.06,41.0,8.05
phonhong,88,LA,1527204579,100,18.5,102.42,74.22,2.48
myaundzha,12,RU,1527204580,70,63.05,147.18,49.2,3.83
saint george,75,BM,1527202500,83,32.38,-64.68,73.4,9.17
cape town,75,ZA,1527199200,82,-33.93,18.42,57.2,10.29
vao,68,NC,1527204580,100,-22.67,167.48,71.61,19.15
minab,0,IR,1527202800,61,27.15,57.07,80.6,6.93
kapaa,40,US,1527202560,69,22.08,-159.32,80.6,19.46
sterling,1,US,1527203700,39,39.0,-77.4,82.4,3.36
zhuanghe,56,CN,1527204581,73,39.7,122.97,66.57,6.96
nago,1,JP,1527202560,73,26.59,127.98,75.2,2.26
tynda,48,RU,1527204581,65,55.15,124.74,59.01,6.4
taltal,0,CL,1527204582,97,-25.41,-70.49,51.81,2.37
galle,92,LK,1527204582,100,6.04,80.22,74.76,19.82
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
nikolskoye,0,RU,1527201000,57,59.7,30.79,48.2,2.24
cape town,75,ZA,1527199200,82,-33.93,18.42,57.2,10.29
butaritari,92,KI,1527204226,100,3.07,172.79,83.85,13.44
mahebourg,75,MU,1527199200,88,-20.41,57.7,71.6,11.41
lake havasu city,1,US,1527202560,6,34.47,-114.34,98.6,5.82
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
puerto ayora,20,EC,1527202800,74,-0.74,-90.35,78.8,18.34
eyl,12,SO,1527204584,71,7.98,49.82,82.41,20.27
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
bambanglipuro,56,ID,1527204163,95,-7.95,110.28,72.69,2.59
ribeira grande,12,PT,1527204584,100,38.52,-28.7,65.31,7.74
maniitsoq,80,GL,1527204584,100,65.42,-52.9,29.31,1.7
broome,0,AU,1527199200,82,-17.97,122.23,59.0,3.15
cordoba,0,AR,1527204585,86,-27.78,-67.24,35.7,2.15
carnarvon,24,AU,1527204090,92,-24.87,113.63,70.26,17.25
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
hithadhoo,32,MV,1527204585,100,-0.6,73.08,83.85,10.2
shima,76,CN,1527204586,79,36.4,117.89,68.46,4.72
pochutla,75,MX,1527201960,99,15.74,-96.47,89.6,9.17
dunedin,68,NZ,1527204586,100,-45.87,170.5,40.83,8.75
